Date(UTC),Market,Type,Price,Amount,Total,Fee
2022-01-05 20:03:43,LUNABUSD,BUY,79.68,2.50,199.20,0.0025
2022-01-05 21:31:24,HBARBUSD,BUY,0.293,682.00,199.83,0.0000000000HBAR
2022-01-05 22:15:02,LUNABUSD,BUY,77,2.59,199.43,0.0000000000LUNA
2022-01-05 22:23:21,HBARBUSD,BUY,0.28,714.00,199.92,0.0000000000HBAR
2022-01-07 13:41:04,HBARBUSD,BUY,0.274,364.00,99.74,0.0000000000HBAR
2022-01-07 15:52:53,LUNABUSD,BUY,68.1,1.46,99.43,0.0000000000LUNA
2022-01-07 16:18:38,HBARBUSD,BUY,0.272,1102.00,299.74,0.0000000000HBAR
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,2228.00,597.10,0.5971040000BUSD
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,634.00,169.91,0.0000000000BUSD
2022-01-08 18:06:54,LUNABUSD,BUY,63,1.58,99.54,0.0000000000LUNA
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,50.21,1737.27,0.0000000000ATOM
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,24.93,862.58,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.27,258.32,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.66,274.39,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,16.49,679.39,0.0000000000ATOM
2022-01-12 07:18:51,ATOMBUSD,SELL,41.2,8.15,335.78,0.0000000000ATOM
2022-01-12 07:49:03,LUNABUSD,SELL,74.4,8.12,604.13,0.0000000000LUNA
2022-01-13 00:46:30,ATOMBUSD,SELL,40.05,37.57,1504.68,0.0000000000ATOM
2022-01-16 01:02:13,ONEBUSD,BUY,34.6,1818.20,609.39,0.0000000000ONE
2022-01-16 01:02:13,ONEBUSD,BUY,34.6,5938.70,1990.41,0.0000000000ONE
2022-01-17 14:50:16,ONEBUSD,SELL,0.329,7756.90,2552.02,0.0000000000ONE
2022-01-20 00:24:30,FTMBUSD,BUY,2.78,331.00,920.18,0.0000000000FTM
2022-01-20 00:24:30,FTMBUSD,BUY,2.78,175.00,486.50,0.0000000000FTM
2022-01-20 00:24:32,FTMBUSD,BUY,2.78,160.00,444.80,0.0000000000FTM
2022-01-20 00:24:37,FTMBUSD,BUY,2.78,412.00,1145.36,0.0000000000FTM
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,140.00,420.11,0.42011200BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0009,170.00,510.15,0.51015300BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,203.00,609.16,0.60916240BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,256.00,768.20,0.76820480BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.001,140.00,420.14,0.42014000BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.001,169.00,507.17,0.50716900BUSD
2022-01-20 21:18:50,ONEBUSD,BUY,0.282,8865.20,2499.99,0.0000000000ONE
2022-01-20 21:56:37,FTMBUSD,BUY,2.775,962.00,2669.55,0.0000000000FTM
2022-01-20 21:56:37,FTMBUSD,BUY,2.775,119.00,330.23,0.0000000000FTM
2022-01-20 22:00:48,ONEBUSD,SELL,0.2645,8865.20,2344.85,2.3448454000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,60.00,148.80,0.1488000000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,8.00,19.84,0.0198400000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,604.00,1497.92,1.4979200000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,10.00,24.80,0.0248000000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,256.00,634.88,0.6348800000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,27.00,66.96,0.0669600000BUSD
2022-01-21 12:10:00,FTMBUSD,SELL,2.48,116.00,287.68,0.2876800000BUSD
2022-01-21 20:11:54,ATOMBUSD,BUY,35.5,13.88,492.74,0.0000000000ATOM
2022-01-21 20:11:54,ATOMBUSD,BUY,35.5,59.29,2104.80,0.0000000000ATOM
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.45,15.26,0.0152550000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.83,28.14,0.0281370000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.36,12.20,0.0122040000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.45,15.26,0.0152550000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,1.71,57.97,0.0579690000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,61.89,2098.07,0.0000000000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.35,11.87,0.0118650000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,1.89,64.07,0.0640710000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.35,11.87,0.0118650000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,1.44,48.82,0.0488160000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.75,25.43,0.0254250000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.35,11.87,0.0118650000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,1.12,37.97,0.0000000000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.51,17.29,0.0172890000BUSD
2022-01-21 21:34:03,ATOMBUSD,SELL,33.9,0.72,24.41,0.0244080000BUSD
2022-01-25 20:01:10,ATOMBUSD,BUY,35.55,73.14,2600.13,0.0000000000ATOM
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.77,19.85,0.0198506000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,1.92,49.50,0.0494976000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.51,13.15,0.0131478000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.59,15.21,0.0152102000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.86,22.17,0.0221708000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,50.96,1313.75,1.3137488000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.79,20.37,0.0203662000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.39,10.05,0.0100542000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.55,14.18,0.0141790000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.79,0.47,12.12,0.0121213000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.67,17.27,0.0172726000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.89,22.94,0.0229442000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,0.42,10.83,0.0108276000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.78,2.32,59.81,0.0598096000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.79,0.31,7.99,0.0079949000BUSD
2022-01-31 07:33:12,ATOMBUSD,SELL,25.99,9.82,255.22,0.2552218000BUSD
